rep,documents,operation,sample,latency_ns,correct
1,256,miss,49,2913317,1
1,256,unicode,49,2977207,1
1,256,serialize,0,120897,1
1,256,deserialize,0,1696099,1
1,256,insert,0,771521,1
1,256,update,0,768955,1
1,256,delete,0,765359,1
1,256,save,0,12831441,1
1,256,load,0,1719522,1
1,256,serialize,1,113614,1
1,256,deserialize,1,1567577,1
1,256,insert,1,772692,1
1,256,update,1,768956,1
1,256,delete,1,767934,1
1,256,save,1,11690977,1
1,256,load,1,1872089,1
1,256,serialize,2,105197,1
1,256,deserialize,2,1575382,1
1,256,insert,2,772231,1
1,256,update,2,766010,1
1,256,delete,2,766261,1
1,256,save,2,11634311,1
1,256,load,2,2468531,1
1,256,serialize,3,97874,1
1,256,deserialize,3,1607983,1
1,256,insert,3,775748,1
1,256,update,3,762844,1
1,256,delete,3,763425,1
1,256,save,3,11514566,1
1,256,load,3,1658338,1
1,256,serialize,4,98776,1
1,256,deserialize,4,1557187,1
1,256,insert,4,769075,1
1,256,update,4,762394,1
1,256,delete,4,763355,1
1,256,save,4,11726043,1
1,256,load,4,1726124,1
1,64,exact,0,727137,1
1,64,near,0,724793,1
1,64,miss,0,725794,1
1,64,unicode,0,744099,1
